type,id,sentiment_body_p,sentiment_body_s,sentiment_title_p,sentiment_title_s,published
Ford,5467437877,positive,0.47,neutral,0.76,2023-03-31T21:19:36Z
Ford,5467437887,positive,0.62,neutral,0.76,2023-03-31T21:19:36Z
Ford,5467438051,negative,0.99,neutral,0.55,2023-03-31T21:19:36Z
Ford,5467437652,positive,0.99,neutral,0.75,2023-03-31T21:19:31Z
Ford,5467438218,positive,0.73,neutral,0.47,2023-03-31T21:19:27Z
Ford,5467437217,positive,0.99,neutral,0.77,2023-03-31T21:19:25Z
Ford,5467436469,neutral,0.86,neutral,0.61,2023-03-31T21:19:12Z
Ford,5467435741,positive,0.6,neutral,0.77,2023-03-31T21:18:57Z
Ford,5467435055,positive,0.64,neutral,0.52,2023-03-31T21:18:40Z
Ford,5467434473,positive,0.62,neutral,0.76,2023-03-31T21:18:15Z
Ford,5467434648,positive,0.62,neutral,0.76,2023-03-31T21:18:12Z
Ford,5467434930,positive,0.62,neutral,0.76,2023-03-31T21:18:12Z
Ford,5467434178,positive,0.67,neutral,0.52,2023-03-31T21:18:05Z
Ford,5467434508,positive,0.86,neutral,0.59,2023-03-31T21:18:02Z
Ford,5467433949,positive,0.83,neutral,0.84,2023-03-31T21:17:38Z
Ford,5467432421,negative,0.9,neutral,0.89,2023-03-31T21:17:23Z
Ford,5467431021,positive,0.93,neutral,0.79,2023-03-31T21:17:02Z
Ford,5467430307,positive,0.82,neutral,0.53,2023-03-31T21:16:56Z
Ford,5467429327,neutral,0.67,neutral,0.66,2023-03-31T21:16:30Z
Ford,5467429091,positive,0.7,neutral,0.63,2023-03-31T21:16:24Z
Ford,5467428786,positive,1.0,neutral,0.6,2023-03-31T21:16:15Z
Ford,5467428287,neutral,0.53,neutral,0.66,2023-03-31T21:16:07Z
Ford,5467426927,negative,0.53,neutral,0.63,2023-03-31T21:15:46Z
Ford,5467424952,neutral,0.98,neutral,0.7,2023-03-31T21:15:00Z
Ford,5467424762,negative,0.92,negative,0.71,2023-03-31T21:14:57Z
Ford,5467424535,negative,0.52,neutral,0.51,2023-03-31T21:14:54Z
Ford,5467424428,negative,0.63,neutral,0.54,2023-03-31T21:14:45Z
Ford,5467424547,negative,0.76,neutral,0.5,2023-03-31T21:14:45Z
Ford,5467423787,positive,0.99,neutral,0.78,2023-03-31T21:14:34Z
Ford,5467423391,positive,0.88,neutral,0.93,2023-03-31T21:14:13Z
Ford,5467422929,negative,0.53,neutral,0.64,2023-03-31T21:13:58Z
Ford,5467420944,negative,0.97,neutral,0.72,2023-03-31T21:10:29Z
Ford,5467421005,negative,0.99,negative,0.52,2023-03-31T21:10:29Z
Ford,5467419830,positive,1.0,neutral,0.68,2023-03-31T21:10:14Z
Ford,5467419303,neutral,0.52,neutral,0.8,2023-03-31T21:09:54Z
Ford,5467418615,positive,0.42,neutral,0.88,2023-03-31T21:09:48Z
Ford,5467419523,positive,0.95,neutral,0.63,2023-03-31T21:09:36Z
Ford,5467412190,positive,0.98,neutral,0.54,2023-03-31T21:09:33Z
Ford,5467418682,positive,0.76,neutral,0.78,2023-03-31T21:09:30Z
Ford,5467410568,neutral,0.58,neutral,0.82,2023-03-31T21:09:01Z
Ford,5467417102,positive,0.54,neutral,0.72,2023-03-31T21:08:37Z
Ford,5467417126,positive,1.0,neutral,0.74,2023-03-31T21:08:37Z
Ford,5467416755,neutral,0.97,negative,0.75,2023-03-31T21:08:34Z
Ford,5467417576,negative,0.81,neutral,0.54,2023-03-31T21:08:34Z
Ford,5467419391,positive,0.79,neutral,0.63,2023-03-31T21:08:27Z
Ford,5467415766,negative,0.43,neutral,0.81,2023-03-31T21:08:05Z
Ford,5467414036,positive,0.59,neutral,0.66,2023-03-31T21:07:54Z
Ford,5467403053,positive,0.67,neutral,0.88,2023-03-31T21:07:51Z
Ford,5467416663,positive,0.99,positive,0.53,2023-03-31T21:07:34Z
Ford,5467413327,negative,0.75,neutral,0.56,2023-03-31T21:07:21Z
Ford,5467414586,positive,0.89,neutral,0.91,2023-03-31T21:07:15Z
Ford,5467412498,positive,0.95,positive,0.96,2023-03-31T21:07:12Z
Ford,5467411215,negative,1.0,negative,0.91,2023-03-31T21:06:40Z
Ford,5467399153,positive,1.0,neutral,0.69,2023-03-31T21:06:37Z
Ford,5467401838,negative,0.94,neutral,0.68,2023-03-31T21:06:35Z
Ford,5467410707,neutral,0.75,neutral,0.78,2023-03-31T21:06:28Z
Ford,5467410464,positive,0.73,neutral,0.48,2023-03-31T21:06:05Z
Ford,5467399081,neutral,0.83,neutral,0.76,2023-03-31T21:05:54Z
Ford,5467410601,negative,0.87,negative,0.51,2023-03-31T21:05:46Z
Ford,5467409360,positive,1.0,neutral,0.7,2023-03-31T21:05:44Z
Ford,5467422363,negative,0.9,neutral,0.77,2023-03-31T21:05:24Z
Ford,5467396877,positive,0.93,neutral,0.52,2023-03-31T21:05:15Z
Ford,5467409217,negative,0.79,positive,0.4,2023-03-31T21:05:09Z
Ford,5467408850,positive,0.96,neutral,0.59,2023-03-31T21:05:01Z
Ford,5467407940,neutral,0.78,neutral,0.85,2023-03-31T21:04:44Z
Ford,5467407886,positive,0.78,neutral,0.86,2023-03-31T21:04:35Z
Ford,5467406570,negative,0.97,neutral,0.53,2023-03-31T21:04:27Z
Ford,5467406417,positive,0.66,neutral,0.91,2023-03-31T21:04:24Z
Ford,5467405275,positive,0.57,neutral,0.65,2023-03-31T21:04:10Z
Ford,5467395725,positive,1.0,neutral,0.84,2023-03-31T21:03:51Z
Ford,5467394945,positive,0.54,neutral,0.72,2023-03-31T21:03:47Z
Ford,5467406354,negative,0.81,neutral,0.53,2023-03-31T21:03:44Z
Ford,5467405316,positive,0.61,neutral,0.65,2023-03-31T21:03:19Z
Ford,5467390345,positive,0.59,neutral,0.82,2023-03-31T21:02:59Z
Ford,5467394720,neutral,0.93,negative,0.63,2023-03-31T21:02:54Z
Ford,5467398674,negative,0.92,neutral,0.86,2023-03-31T21:02:13Z
Ford,5467393799,negative,0.97,neutral,0.9,2023-03-31T21:02:10Z
Ford,5467398352,positive,1.0,neutral,0.61,2023-03-31T21:01:59Z
Ford,5467394083,neutral,0.89,negative,0.51,2023-03-31T21:01:56Z
Ford,5467397785,neutral,0.69,neutral,0.48,2023-03-31T21:01:56Z
Ford,5467397396,negative,0.96,neutral,0.61,2023-03-31T21:01:43Z
Ford,5467387573,positive,1.0,neutral,0.6,2023-03-31T21:01:31Z
Ford,5467385695,negative,0.93,negative,0.49,2023-03-31T21:01:07Z
Ford,5467395269,negative,0.48,neutral,0.8,2023-03-31T21:01:01Z
Ford,5467389555,positive,0.98,neutral,0.62,2023-03-31T21:00:52Z
Ford,5467393224,positive,0.72,neutral,0.78,2023-03-31T21:00:52Z
Ford,5467392812,positive,0.89,neutral,0.91,2023-03-31T21:00:49Z
Ford,5467391548,neutral,0.59,neutral,0.79,2023-03-31T21:00:22Z
Ford,5467391029,positive,0.61,neutral,0.8,2023-03-31T20:59:55Z
Ford,5467390296,positive,1.0,neutral,0.85,2023-03-31T20:59:42Z
Ford,5467390409,positive,1.0,neutral,0.68,2023-03-31T20:59:33Z
Ford,5467388739,positive,0.97,neutral,0.79,2023-03-31T20:59:30Z
Ford,5467385191,positive,0.99,neutral,0.55,2023-03-31T20:59:26Z
Ford,5467386050,negative,0.53,neutral,0.88,2023-03-31T20:59:05Z
Ford,5467384916,positive,0.99,neutral,0.56,2023-03-31T20:59:00Z
Ford,5467382167,negative,0.47,neutral,0.64,2023-03-31T20:58:57Z
Ford,5467381424,positive,0.97,neutral,0.78,2023-03-31T20:58:39Z
