type,id,sentiment_body_p,sentiment_body_s,sentiment_title_p,sentiment_title_s,published
Mercedes,5467461399,positive,0.95,neutral,0.81,2023-03-31T21:31:15Z
Mercedes,5467461070,positive,0.97,neutral,0.55,2023-03-31T21:31:04Z
Mercedes,5467460455,positive,0.99,positive,0.56,2023-03-31T21:30:39Z
Mercedes,5467460573,positive,0.95,neutral,0.84,2023-03-31T21:30:36Z
Mercedes,5467460092,neutral,0.55,neutral,0.8,2023-03-31T21:30:24Z
Mercedes,5467460319,neutral,0.51,neutral,0.56,2023-03-31T21:29:59Z
Mercedes,5467458758,positive,0.48,neutral,0.62,2023-03-31T21:29:33Z
Mercedes,5467457869,positive,0.97,neutral,0.9,2023-03-31T21:29:04Z
Mercedes,5467457782,positive,1.0,neutral,0.85,2023-03-31T21:28:50Z
Mercedes,5467457215,positive,0.65,neutral,0.59,2023-03-31T21:28:19Z
Mercedes,5467453697,positive,0.92,neutral,0.44,2023-03-31T21:27:33Z
Mercedes,5467454498,neutral,0.69,neutral,0.79,2023-03-31T21:26:51Z
Mercedes,5467455165,negative,0.59,neutral,0.93,2023-03-31T21:26:28Z
Mercedes,5467449827,negative,0.52,neutral,0.74,2023-03-31T21:26:22Z
Mercedes,5467450251,negative,0.55,neutral,0.74,2023-03-31T21:26:20Z
Mercedes,5467453194,positive,0.93,neutral,0.58,2023-03-31T21:25:53Z
Mercedes,5467446089,positive,0.73,neutral,0.85,2023-03-31T21:25:14Z
Mercedes,5467452384,negative,0.47,neutral,0.84,2023-03-31T21:24:18Z
Mercedes,5467450596,negative,0.87,neutral,0.95,2023-03-31T21:23:42Z
Mercedes,5467450368,neutral,0.55,neutral,0.7,2023-03-31T21:23:20Z
Mercedes,5467449370,positive,0.95,neutral,0.96,2023-03-31T21:23:15Z
Mercedes,5467448887,negative,0.61,neutral,0.98,2023-03-31T21:22:47Z
Mercedes,5467448492,negative,0.5,negative,0.53,2023-03-31T21:22:41Z
Mercedes,5467440851,positive,0.83,neutral,0.38,2023-03-31T21:21:55Z
Mercedes,5467445050,positive,0.82,neutral,0.97,2023-03-31T21:21:50Z
Mercedes,5467444989,positive,0.85,neutral,0.52,2023-03-31T21:21:39Z
Mercedes,5467443786,positive,0.85,neutral,0.52,2023-03-31T21:21:28Z
Mercedes,5467443324,neutral,0.74,neutral,0.8,2023-03-31T21:21:16Z
