type,id,sentiment_body_p,sentiment_body_s,sentiment_title_p,sentiment_title_s,published
bmw,5467445050,positive,0.82,neutral,0.97,2023-03-31T21:21:50Z
bmw,5467444989,positive,0.85,neutral,0.52,2023-03-31T21:21:39Z
bmw,5467443786,positive,0.85,neutral,0.52,2023-03-31T21:21:28Z
bmw,5467443487,positive,0.86,neutral,0.81,2023-03-31T21:21:09Z
bmw,5467443292,positive,0.87,neutral,0.52,2023-03-31T21:20:25Z
bmw,5467438692,positive,0.94,neutral,0.75,2023-03-31T21:19:49Z
bmw,5467438612,positive,0.85,neutral,0.52,2023-03-31T21:19:43Z
bmw,5467438680,neutral,0.74,neutral,0.48,2023-03-31T21:19:43Z
bmw,5467438268,positive,0.67,neutral,0.52,2023-03-31T21:19:30Z
bmw,5467435055,positive,0.64,neutral,0.52,2023-03-31T21:18:40Z
bmw,5467434897,negative,0.52,neutral,0.78,2023-03-31T21:18:12Z
bmw,5467434178,positive,0.67,neutral,0.52,2023-03-31T21:18:05Z
bmw,5467431851,positive,1.0,neutral,0.6,2023-03-31T21:17:02Z
bmw,5467430487,positive,1.0,neutral,0.78,2023-03-31T21:16:59Z
bmw,5467430315,positive,0.59,neutral,0.63,2023-03-31T21:16:56Z
bmw,5467430884,positive,0.99,neutral,0.89,2023-03-31T21:16:53Z
bmw,5467430055,negative,0.99,neutral,0.63,2023-03-31T21:16:36Z
bmw,5467428239,positive,0.59,neutral,0.8,2023-03-31T21:16:07Z
bmw,5467427000,positive,0.98,neutral,0.58,2023-03-31T21:15:38Z
bmw,5467426602,positive,0.95,neutral,0.96,2023-03-31T21:15:17Z
bmw,5467425695,positive,0.89,neutral,0.84,2023-03-31T21:15:00Z
bmw,5467415978,positive,0.4,positive,0.54,2023-03-31T21:10:04Z
bmw,5467418930,neutral,0.62,neutral,0.89,2023-03-31T21:09:30Z
bmw,5467416881,neutral,1.0,neutral,0.98,2023-03-31T21:08:31Z
bmw,5467399781,positive,0.78,neutral,0.68,2023-03-31T21:07:01Z
bmw,5467411347,positive,0.99,neutral,0.68,2023-03-31T21:05:59Z
bmw,5467409356,positive,0.95,neutral,0.59,2023-03-31T21:05:44Z
bmw,5467406807,positive,0.89,neutral,0.46,2023-03-31T21:04:44Z
bmw,5467394434,negative,0.93,neutral,0.69,2023-03-31T21:03:59Z
bmw,5467405953,positive,0.83,neutral,0.89,2023-03-31T21:03:21Z
bmw,5467402229,positive,0.96,neutral,0.67,2023-03-31T21:02:42Z
bmw,5467386858,negative,0.73,neutral,0.65,2023-03-31T21:01:12Z
bmw,5467390296,positive,1.0,neutral,0.85,2023-03-31T20:59:42Z
bmw,5467389855,positive,0.93,neutral,0.96,2023-03-31T20:59:36Z
bmw,5467388739,positive,0.97,neutral,0.79,2023-03-31T20:59:30Z
bmw,5467382853,positive,0.47,neutral,0.95,2023-03-31T20:58:17Z
bmw,5467384505,positive,0.56,neutral,0.8,2023-03-31T20:58:17Z
bmw,5467378449,negative,0.89,neutral,0.71,2023-03-31T20:57:38Z
bmw,5467378788,positive,0.95,neutral,0.92,2023-03-31T20:56:43Z
bmw,5467375384,positive,0.98,neutral,0.81,2023-03-31T20:54:58Z
bmw,5467372495,positive,1.0,positive,0.52,2023-03-31T20:54:08Z
