type,id,sentiment_body_p,sentiment_body_s,sentiment_title_p,sentiment_title_s,published
Hyundai,5467430680,positive,1,neutral,0.55,2023-03-31T21:16:39Z
Hyundai,5467425339,positive,0.48,neutral,0.64,2023-03-31T21:14:48Z
Hyundai,5467422655,negative,0.59,neutral,0.8,2023-03-31T21:13:28Z
Hyundai,5467415978,positive,0.4,positive,0.54,2023-03-31T21:10:04Z
Hyundai,5467417291,positive,1,neutral,0.48,2023-03-31T21:09:03Z
Hyundai,5467405875,negative,0.58,neutral,0.85,2023-03-31T21:08:13Z
Hyundai,5467417229,positive,0.52,neutral,0.48,2023-03-31T21:08:01Z
Hyundai,5467414688,negative,0.81,neutral,0.53,2023-03-31T21:07:48Z
Hyundai,5467399781,positive,0.78,neutral,0.68,2023-03-31T21:07:01Z
Hyundai,5467409359,positive,0.97,neutral,0.59,2023-03-31T21:05:44Z
Hyundai,5467408579,positive,0.99,neutral,0.82,2023-03-31T21:05:17Z
Hyundai,5467422104,negative,0.86,negative,0.79,2023-03-31T21:05:17Z
Hyundai,5467404634,positive,0.76,neutral,0.65,2023-03-31T21:03:32Z
Hyundai,5467395617,positive,0.9,neutral,0.63,2023-03-31T21:02:50Z
Hyundai,5467402229,positive,0.96,neutral,0.67,2023-03-31T21:02:42Z
Hyundai,5467392517,positive,1,neutral,0.68,2023-03-31T20:59:47Z
Hyundai,5467387991,positive,0.7,neutral,0.53,2023-03-31T20:59:02Z
Hyundai,5467382827,positive,0.91,neutral,0.87,2023-03-31T20:58:17Z
Hyundai,5467381362,negative,0.73,neutral,0.71,2023-03-31T20:56:49Z
Hyundai,5467371562,positive,0.64,neutral,0.89,2023-03-31T20:55:35Z
Hyundai,5467377315,neutral,0.61,neutral,0.7,2023-03-31T20:55:33Z
Hyundai,5467371758,positive,0.96,neutral,0.83,2023-03-31T20:55:17Z
Hyundai,5467375419,negative,0.94,neutral,0.8,2023-03-31T20:55:14Z
Hyundai,5467368567,negative,0.78,neutral,0.57,2023-03-31T20:53:56Z
Hyundai,5467362262,neutral,0.78,neutral,0.68,2023-03-31T20:52:23Z
Hyundai,5467366060,negative,0.74,neutral,0.68,2023-03-31T20:51:22Z
Hyundai,5467354966,neutral,0.4,neutral,0.79,2023-03-31T20:49:42Z
Hyundai,5467358099,negative,0.93,negative,0.61,2023-03-31T20:48:55Z
