type,id,sentiment_body_p,sentiment_body_s,sentiment_title_p,sentiment_title_s,published
Volkswagen,5467385760,neutral,0.89,negative,0.8,2023-03-31T21:01:07Z
Volkswagen,5467389216,negative,0.79,neutral,0.48,2023-03-31T20:59:11Z
Volkswagen,5467387990,positive,0.92,neutral,0.62,2023-03-31T20:58:57Z
Volkswagen,5467376897,positive,0.98,neutral,0.77,2023-03-31T20:57:23Z
Volkswagen,5467369616,positive,0.59,neutral,0.54,2023-03-31T20:53:20Z
Volkswagen,5467359291,positive,0.96,neutral,0.54,2023-03-31T20:51:36Z
Volkswagen,5467357512,positive,0.75,neutral,0.73,2023-03-31T20:48:04Z
Volkswagen,5467357305,neutral,0.58,neutral,0.7,2023-03-31T20:47:54Z
Volkswagen,5467352928,neutral,0.75,neutral,0.97,2023-03-31T20:47:28Z
Volkswagen,5467341313,negative,0.77,neutral,0.53,2023-03-31T20:46:46Z
Volkswagen,5467350268,positive,0.78,neutral,0.73,2023-03-31T20:46:44Z
Volkswagen,5467346954,negative,0.96,neutral,0.51,2023-03-31T20:45:49Z
Volkswagen,5467344820,negative,0.57,neutral,0.7,2023-03-31T20:45:18Z
Volkswagen,5467344324,positive,0.82,neutral,0.92,2023-03-31T20:45:03Z
Volkswagen,5467345015,negative,0.79,neutral,0.51,2023-03-31T20:44:57Z
Volkswagen,5467342171,neutral,0.55,neutral,0.7,2023-03-31T20:44:34Z
Volkswagen,5467334687,positive,0.85,neutral,0.73,2023-03-31T20:44:12Z
Volkswagen,5467332995,neutral,0.6,neutral,0.94,2023-03-31T20:43:57Z
Volkswagen,5467337897,negative,0.62,neutral,0.7,2023-03-31T20:43:51Z
Volkswagen,5467336122,positive,0.48,neutral,0.67,2023-03-31T20:43:45Z
Volkswagen,5467339549,positive,1.0,neutral,0.57,2023-03-31T20:43:12Z
Volkswagen,5467338018,positive,0.85,neutral,0.73,2023-03-31T20:43:03Z
Volkswagen,5467337498,positive,0.78,neutral,0.73,2023-03-31T20:42:52Z
Volkswagen,5467335707,positive,0.62,neutral,0.92,2023-03-31T20:42:27Z
Volkswagen,5467335051,neutral,0.53,neutral,0.7,2023-03-31T20:42:06Z
Volkswagen,5467335116,neutral,0.54,neutral,0.81,2023-03-31T20:41:59Z
Volkswagen,5467334441,positive,1.0,neutral,0.89,2023-03-31T20:41:28Z
Volkswagen,5467333690,positive,0.83,neutral,0.73,2023-03-31T20:41:18Z
Volkswagen,5467328515,neutral,0.49,neutral,0.61,2023-03-31T20:40:00Z
Volkswagen,5467328772,positive,0.78,neutral,0.74,2023-03-31T20:39:29Z
Volkswagen,5467325316,positive,0.7,neutral,0.73,2023-03-31T20:39:16Z
Volkswagen,5467331998,positive,0.96,neutral,0.77,2023-03-31T20:38:43Z
Volkswagen,5467324780,positive,0.99,neutral,0.67,2023-03-31T20:38:29Z
Volkswagen,5467323111,positive,0.55,neutral,0.86,2023-03-31T20:38:14Z
Volkswagen,5467314308,positive,1.0,neutral,0.71,2023-03-31T20:34:46Z
Volkswagen,5467307583,positive,0.93,neutral,0.9,2023-03-31T20:31:51Z
Volkswagen,5467311385,positive,0.98,neutral,0.77,2023-03-31T20:31:41Z
Volkswagen,5467308967,positive,0.37,negative,0.79,2023-03-31T20:28:49Z
Volkswagen,5467308715,negative,0.68,negative,0.73,2023-03-31T20:28:41Z
Volkswagen,5467296995,neutral,0.99,neutral,0.9,2023-03-31T20:28:08Z
Volkswagen,5467297202,neutral,1.0,neutral,0.69,2023-03-31T20:28:08Z
Volkswagen,5467308049,negative,0.59,neutral,0.82,2023-03-31T20:27:54Z
Volkswagen,5467307641,positive,0.55,neutral,0.83,2023-03-31T20:27:41Z
Volkswagen,5467305433,positive,0.78,neutral,0.83,2023-03-31T20:27:29Z
Volkswagen,5467295506,positive,1.0,neutral,0.5,2023-03-31T20:27:24Z
Volkswagen,5467296900,neutral,0.6,neutral,0.7,2023-03-31T20:26:38Z
Volkswagen,5467302329,positive,0.94,neutral,0.82,2023-03-31T20:26:30Z
Volkswagen,5467297317,negative,0.57,neutral,0.81,2023-03-31T20:26:29Z
Volkswagen,5467301650,positive,0.43,neutral,0.68,2023-03-31T20:26:21Z
Volkswagen,5467293921,positive,0.77,neutral,0.83,2023-03-31T20:26:15Z
Volkswagen,5467299047,positive,0.78,neutral,0.83,2023-03-31T20:25:46Z
Volkswagen,5467300141,positive,0.99,neutral,0.75,2023-03-31T20:25:32Z
Volkswagen,5467293230,positive,0.84,neutral,0.83,2023-03-31T20:24:17Z
Volkswagen,5467293057,positive,0.42,neutral,0.65,2023-03-31T20:24:12Z
Volkswagen,5467287377,positive,0.41,neutral,0.79,2023-03-31T20:23:55Z
Volkswagen,5467288595,negative,0.88,negative,0.5,2023-03-31T20:23:49Z
Volkswagen,5467292303,positive,0.91,neutral,0.83,2023-03-31T20:23:41Z
Volkswagen,5467285127,positive,0.79,neutral,0.83,2023-03-31T20:23:10Z
Volkswagen,5467284580,negative,0.56,neutral,0.77,2023-03-31T20:22:45Z
Volkswagen,5467282513,neutral,0.7,neutral,0.73,2023-03-31T20:21:53Z
Volkswagen,5467287636,positive,0.78,neutral,0.83,2023-03-31T20:21:53Z
Volkswagen,5467286007,neutral,0.99,neutral,0.54,2023-03-31T20:21:17Z
Volkswagen,5467289272,positive,0.5,neutral,0.96,2023-03-31T20:20:02Z
Volkswagen,5467277824,negative,0.87,neutral,0.86,2023-03-31T20:19:48Z
Volkswagen,5467280387,positive,0.45,neutral,0.65,2023-03-31T20:19:35Z
Volkswagen,5467272799,positive,0.51,neutral,0.76,2023-03-31T20:18:00Z
Volkswagen,5467273232,neutral,0.53,neutral,0.73,2023-03-31T20:17:32Z
Volkswagen,5467272654,positive,0.9,positive,0.84,2023-03-31T20:17:27Z
Volkswagen,5467275379,neutral,0.56,neutral,0.62,2023-03-31T20:17:24Z
Volkswagen,5467266890,positive,0.76,neutral,0.66,2023-03-31T20:17:17Z
Volkswagen,5467273304,positive,0.94,neutral,0.79,2023-03-31T20:17:17Z
Volkswagen,5467270931,positive,0.75,neutral,0.61,2023-03-31T20:16:46Z
Volkswagen,5467261550,neutral,0.8,neutral,0.66,2023-03-31T20:15:45Z
Volkswagen,5467271232,negative,0.7,positive,0.84,2023-03-31T20:15:43Z
Volkswagen,5467263452,positive,0.95,neutral,0.77,2023-03-31T20:15:36Z
Volkswagen,5467267971,positive,0.57,neutral,0.92,2023-03-31T20:15:27Z
Volkswagen,5467265161,positive,0.65,neutral,0.7,2023-03-31T20:14:58Z
Volkswagen,5467266083,positive,0.45,neutral,0.86,2023-03-31T20:14:54Z
Volkswagen,5467265006,positive,0.49,neutral,0.77,2023-03-31T20:14:46Z
Volkswagen,5467264668,positive,0.54,neutral,0.69,2023-03-31T20:14:30Z
Volkswagen,5467256865,neutral,0.83,neutral,0.57,2023-03-31T20:14:24Z
Volkswagen,5467264502,positive,0.91,neutral,0.58,2023-03-31T20:14:21Z
Volkswagen,5467264814,neutral,0.64,neutral,0.79,2023-03-31T20:14:21Z
Volkswagen,5467264490,positive,0.95,neutral,0.43,2023-03-31T20:14:19Z
Volkswagen,5467263256,negative,0.82,negative,0.51,2023-03-31T20:13:27Z
Volkswagen,5467259075,negative,0.38,neutral,0.83,2023-03-31T20:12:35Z
Volkswagen,5467257311,negative,0.8,neutral,0.92,2023-03-31T20:11:48Z
Volkswagen,5467255092,positive,0.81,neutral,0.67,2023-03-31T20:11:38Z
Volkswagen,5467274733,positive,0.97,neutral,0.78,2023-03-31T20:11:35Z
Volkswagen,5467251082,negative,0.97,neutral,0.81,2023-03-31T20:11:19Z
Volkswagen,5467255329,negative,0.47,neutral,0.63,2023-03-31T20:11:11Z
Volkswagen,5467252398,positive,0.94,neutral,0.87,2023-03-31T20:10:15Z
Volkswagen,5467252139,positive,0.56,neutral,0.74,2023-03-31T20:10:03Z
Volkswagen,5467246213,positive,0.89,neutral,0.57,2023-03-31T20:08:41Z
Volkswagen,5467241554,positive,0.96,neutral,0.85,2023-03-31T20:08:32Z
Volkswagen,5467244514,positive,0.76,neutral,0.72,2023-03-31T20:07:56Z
Volkswagen,5467230926,neutral,0.55,neutral,0.7,2023-03-31T20:05:47Z
Volkswagen,5467226839,positive,0.99,positive,0.69,2023-03-31T20:01:50Z
Volkswagen,5467222596,negative,0.96,neutral,0.78,2023-03-31T20:01:19Z
Volkswagen,5467222135,positive,0.97,neutral,0.88,2023-03-31T20:01:08Z
